ID,TaxID,Rank,Organism,Hosts,Transmissions,Diseases
121,99000,Species,Tanapox virus,"Human, Monkeys","Zoonosis, Contact",
122,11089,No Rank,Yellow fever virus,"Human, Mosquitoes, Monkeys","Zoonosis, Arthropod bite",Hemorrhagic fever
123,64320,No Rank,Zika virus,"Human, Mosquitoes, Monkeys","Zoonosis, Arthropod bite","Fever, Joint pain, Rash"
124,277944,Species,Human coronavirus NL63,Human,"Respiratory, Respiratory fluids",Common cold
125,2844582,Species,Gemykibivirus humas2,Human,Unknown,Undocumented
126,130309,Species,Human mastadenovirus F,Human,Fecal-oral,Gastroenteritis
127,1972578,Species,Vesiculovirus newjersey,"Human, Cattle, Pig, Mosquitoes, Sandflies","Zoonosis, Arthropod bite","Fatal encephalitis, Encephalitis"
128,138949,Species,Enterovirus B,Human,"Respiratory, Fecal-oral, Saliva","Gastroenteritis, Fatal encephalitis, Encephalitis"
129,2169992,Species,Brazilian mammarenavirus,"Human, Rodents, Mammals","Urine, Fecal-oral (probable)",Hemorrhagic fever
130,683172,Species,Astrovirus MLB2,Human,Fecal-oral,"Gastroenteritis, Encephalitis"
131,463676,Species,Rhinovirus C,Human,"Respiratory, Respiratory fluids",Common cold
132,3052230,Species,Hepacivirus hominis,Human,"Blood, Sexual",Hepatitis
133,3052299,Species,Mammarenavirus brazilense,"Rodents, Mammals","Fecal-oral, Zoonosis, Urine","Fever, Hemorrhagic fever"
134,3052464,Species,Orthoflavivirus denguei,Human,Arthropod bite,"Encephalitis, Fever, Joint pain, Hemorrhagic fever"
135,3052608,Species,Pegivirus hominis,Human,"lood, Occasionally sexual",Asymptomatic
